#	1er apellido	Personas1	 % de la
población2
61	Navarro	107.897	0,64
62	Aguilera	107.864	0,64
63	Parra	106.100	0,63
64	Romero	105.597	0,63
65	Aravena	105.441	0,63
66	Pizarro	105.352	0,63
67	Godoy	103.887	0,62
68	Peña	103.377	0,62
69	Cáceres	102.830	0,61
70	Leiva	99.890	0,60
71	Escobar	97.979	0,58
72	Yáñez	96.589	0,58
73	Valdés	96.528	0,58
74	Vidal	96.037	0,57
75	Salinas	94.110	0,56
76	Cárdenas	93.925	0,56
77	Jiménez	92.032	0,55
78	Ruiz	91.539	0,55
79	Lagos	91.024	0,54
80	Maldonado	89.091	0,53
81	Bustos	88.445	0,53
82	Medina	87.578	0,52
83	Pino	86.295	0,51
84	Palma	82.735	0,49
85	Moreno	82.548	0,49
86	Sanhueza	82.383	0,49
87	Carvajal	81.785	0,49
88	Navarrete	81.729	0,49
89	Sáez	80.938	0,48
90	Alvarado	79.985	0,48
91	Donoso	79.855	0,48
92	Poblete	79.248	0,47
93	Bustamante	78.732	0,47
94	Toro	78.659	0,47
95	Ortega	78.086	0,47
96	Venegas	76.900	0,46
97	Guerrero	76.823	0,46
98	Paredes	75.825	0,45
99	Farías	75.242	0,45
100	San Martín	74.575	0,44
#	Apellido	Personas	 % de pob.
1	Rodríguez	n/d	n/d
2	Mora	n/d	n/d
3	Jiménez	n/d	n/d
4	González	n/d	n/d
5	Hernández	n/d	n/d
6	Morales	n/d	n/d
7	Sánchez	n/d	n/d
8	Ramírez	n/d	n/d
9	Pérez	n/d	n/d
10	Calderón	n/d	n/d
11	Gutiérrez	n/d	n/d
12	Rojas	n/d	n/d
13	Salas	n/d	n/d
14	Vargas	n/d	n/d
15	Torres	n/d	n/d
16	Segura	n/d	n/d
17	Valverde	n/d	n/d
18	Villalobos	n/d	n/d
19	Araya	n/d	n/d
20	Herrera	n/d	n/d
21	López	n/d	n/d
22	Madrigal	n/d	n/
1	García	n/d	33,2
2	Fernández	n/d	20,8
3	González	n/d	20,8
4	Rodríguez	n/d	20,7
5	López	n/d	19,6
6	Martínez	n/d	18,7
7	Sánchez	n/d	18,3
8	Pérez	n/d	17,5
9	Martín	n/d	11,1
10	Gómez	n/d	11,0
11	Jiménez	n/d	8,6
12	Ruiz	n/d	8,2
13	Hernández	n/d	7,9
14	Díaz	n/d	7,5
15	Moreno	n/d	7,0
16	Álvarez	n/d	6,4
17	Muñoz	n/d	6,2
18	Romero	n/d	4,8
19	Alonso	n/d	4,5
20	Gutiérrez	n/d	4,3
